"id","type","form","gloss","pos","pos_condition","comment"
,"suffix","-xu","COORD1","CONJ",,
,,"at","COORD2","CONJ",,"аддитивная частица"
,"suffix","-ad","COORD2","CONJ",,"аддитивная частица"
,"suffix","-yad","COORD2","CONJ",,"аддитивная частица"
,,"ata","COORD3","CONJ",,
,,"atā","COORD3","CONJ",,
,,"-ata","COORD3","CONJ",,
,,"-yata","COORD3","CONJ",,
,"suffix","-u","COORD3","CONJ",,"сочинительный союз"
,"verb","nāw","cry","V",,
,"verb","nů","cry","V",,
,"verb","nīw","cry","V",,
,,"mam","D1.F.SG.O","DEM",,
,,"ůd","D1.LOC","DEM.LOC",,
,,"yůd","D1.LOC","DEM.LOC",,
,,"māδ","D1.PL","DEM",,
,,"mef","D1.PL.O","DEM",,
,,"mev","D1.PL.O","DEM",,
,,"ima","D1.PTCL","DEM",,
,,"yima","D1.PTCL","DEM",,
,,"ed","D2.LOC","DEM.LOC",,
,,"yed","D2.LOC","DEM.LOC",,
,,"def","D2.PL.O","DEM",,
,,"dev","D2.PL.O","DEM",,
,,"ida","D2.PTCL","DEM",,
,,"yida","D2.PTCL","DEM",,
,,"yid","D2.SG","DEM",,
,,"yā","D3.F.SG","DEM",,
,,"wam","D3.F.SG.O","DEM",,
,,"yu","D3.M.SG","DEM",,
,,"wi","D3.M.SG.O","DEM",,
,,"wāδ","D3.PL","DEM",,
,,"wef","D3.PL.O","DEM",,
,,"wev","D3.PL.O","DEM",,
,,"yuwa","D3.PTCL.F","DEM",,
,,"yuwu","D3.PTCL.M","DEM",,
,"suffix","-ard","DAT","POST",,"латив (‘в дом’), адресат, реципиент (‘дал/сказал нам’)"
,"suffix","-ra","DAT","POST",,"латив (‘в дом’), адресат, реципиент (‘дал/сказал нам’)"
,"suffix","-rad","DAT","POST",,"латив (‘в дом’), адресат, реципиент (‘дал/сказал нам’)"
,"suffix","-rd","DAT","POST",,"латив (‘в дом’), адресат, реципиент (‘дал/сказал нам’)"
,"suffix","-yard","DAT","POST",,
,,"rizīn","daughter","N",,
,,"rūz","day","N",,
,,"meθ","day","N",,
,,"farq","difference","N",,
,"suffix","-ik","DIM","N.AFF","< ? N",
,"suffix","-āǰ","DIR","POST",,"директив (‘в сторону дома’)"
,"verb","kix̌","do","V",,
,"verb","kin","do","V",,
,"verb","čū","do","V",,
,"verb","čūɣ̌","do","V",,
,,"ki","do","V",,
,"prefix","ar-","DOWN","PREP",,
,,"qoq","dry","N",,
,,"zimāδ","earth","N",,
,"verb","xūɣ̌","eat","V",,
,,"wax̌t","eight","NUM",,
,,"as","EL","PREP",,"элатив (‘из Душанбе’)"
,"prefix","az-","EL","PREP",,
,,"az","EL","PREP",,"элатив (‘из Душанбе’)"
,"prefix","ik-","EMPH","PRT",,
,"prefix","k-","EMPH","PRT",,
,"prefix","yik-","EMPH","PRT",,
,,"yik","EMPH","PRT",,
,,"xoli","empty","N",,
,,"tāmum","end","N",,
,"verb","deδ","enter","V",,
,"prefix","tar-","EQ","PREP",,
,,"tar","EQ","PREP",,"экваллатив, перемещение к ориентиру на одном уровне с говорящим"
,,"vegā","evening","N",,
,,"har","every","PRO",,
,,"misol","example","? N / PRT",,
,,"farz","example","N",,
,,"cem","eye","N",,
,"verb","wox̌","fall","V",,
,"verb","wêx̌","fall","V",,
,,"δar","far","N",,
,,"ǰald","fast","N",,
,,"ǰāld","fast","N",,
,,"tez","fast","N",,
,,"dod","father","N",,
,,"tāt","father","N",,
,,"x̌oǰ","fear","N",,
,,"tayor","finished","N",,
,,"panǰ","five","NUM",,
,,"pīnӡ","five","NUM",,
,,"gīr","fixed","N",,
,,"awqot","food","N",,
,,"poδ","foot","N",,
,,"maǰbūr","force","N",,
,"verb","rinês","forget","V",,
,"verb","rinūx̌","forget","V",,
,"verb","rinīx̌","forget","V",,
,,"bax̌xix̌","forgiveness","N",,
,,"cavor","four","NUM",,
,,"yor","friend","N",,
,,"ox̌no","friend","N",,
,,"pur","full","N",,
,"suffix","-ta","FUT","PRT",,
,,"ta","FUT","PRT",,
,,"boɣ","garden","N",,
,,"ǰām","gathered","N",,
,"verb","xāfc","get_down","V",,
,"verb","xāfs","get_down","V",,
,"verb","xāv","get_down","V",,
,"verb","andiz","get_up","V",,
,"verb","andiʒ","get_up","V",,
,"verb","andīz","get_up","V",,
,"verb","andīʒ","get_up","V",,
,"verb","andī","get_up","V",,
,"verb","andoy","get_up.F/PL","V",,
,"verb","andūy","get_up.M.SG","V",,
,,"ɣāc","girl","N",,
,"verb","dāk","give","PV",,
,"verb","nax̌t","go_out","V",,
